transformed_input_for_generation,target
"Speaker SHELDON: but it was between you and the Museum of Natural History, and frankly, you don't have dinosaurs. 
Speaker SHELDON: I'll miss you, too. Bye-bye. 
Speaker SHELDON: Okay, I know you're texting about me and I'd really like you to stop. 
Speaker RAJ: Oh, dear, I am rightly and truly screwed. 
Speaker LEONARD: Hey, I thought you were finding new friends. 
Speaker RAJ: ","I've got some feelers out. In the meantime, listen to this."
"Speaker JOEY: Oh, unbelievable! We had the best time! 
Speaker PHOEBE: Yay!! Oh so, you're not, you're not mad at us anymore? 
Speaker JOEY: No! 
Speaker JOEY: ",No!
"Speaker SHELDON: Great Caesar's ghost, look at this place. 
Speaker LEONARD: So Penny's a little messy. 
Speaker SHELDON: A little messy? 
Speaker SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos. 
Speaker SHELDON: Excuse me. 
Speaker SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid. 
Speaker SHELDON: ",I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.
"Speaker DOROTHY: Honey you alright? 
Speaker ROSE: I'll be fine 
Speaker BLANCHE: Is this about Arnie? 
Speaker DOROTHY: ",No Blanche she is upset because they keep changing the taste of coke.
"Speaker ROSS: Hi Ben, and uh .. 
Speaker JOEY: I said ""a little bit"" Ross. 
Speaker CHANDLER: ","Well, I'm a headhunter. I hook up out of work Soviet scientists with rogue third-world nations. Hi Rasputin!"
"Speaker HOWARD: You are now the only woman in my life who I'll see naked in the bathroom. 
Speaker BERNADETTE: I know this wasn't easy.
You doing okay? 
Speaker HOWARD: Oh, I'm fine.
It's just her I'm worried about. 
Speaker BERNADETTE: Aw, she'll be okay.
She's a grown woman. 
Speaker HOWARD: I know. 
It's just ever since my dad left, I've felt responsible for her. 
Speaker BERNADETTE: That's a lot for a kid to deal with. 
Speaker HOWARD: ","She was just so sad all the time. Yeah, I was the only person who could cheer her up. Well, me and Ben and Jerry."
"Speaker ROSS: He also found an M and an O. 
Speaker CHANDLER: ",We think it was trying to spell out monkey.
"Speaker AMY: FYI, we plan on selling out the human race hard. 
Speaker PENNY: In 20 years, who knows what'll happen with any of us? 
Speaker PERSON: I think you and Leonard will be together. 
Speaker PENNY: You do? 
Speaker PERSON: Yeah.
I think you're the best couple I know. 
Speaker PENNY: That's so sweet. 
Speaker AMY: What the hell?! Excuse me? 
Speaker PENNY: Ah-da-da-da-da! 
Speaker PENNY: ","Let the dead man talk. So, why do you think that?"
"Speaker HOWARD: You know, joking, kidding around, hurting feelings. 
Speaker SHELDON: Okay, my turn. 
Let me talk to him. 
Speaker LEONARD: Go ahead. 
Speaker SHELDON: 2311 North Los Robles Avenue, Pasadena, California to International Space Station.
Can you read me? Over. 
Speaker HOWARD: (imitates walkie-talkie static) Yes, I read you, Sheldon. 
Speaker SHELDON: Copy that. Over. (imitates walkie-talkie static) 
Speaker LEONARD: What are you doing? 
Speaker SHELDON: ",I am talking to a man in space. If you don't have the (walkie-talkie static) then he might as well be at the Coffee Bean over on Lake Street.
"Speaker DOROTHY: ma I think you should sit down 
Speaker ROSE: Dorothy, should I get Sophia a glass of water? 
Speaker DOROTHY: ","Rose, you should sit here and watch her hack herself to death"
"Speaker RAJ: Oh, look at you.
You, you look like you grew. 
Speaker HOWARD: Yeah.
The lack of gravity did decompress my spine, so I'm like an inch and a half taller. 
Speaker HOWARD: I'm going to the DMV tomorrow to get my license changed before I shrink back. 
Speaker RAJ: Oh, uh, come in, come in. 
Speaker RAJ: Oh, I, uh, I didn't think I was going to get to see you until tomorrow. 
Speaker HOWARD: ","Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist."
"Speaker LEONARD: When are you going to stop making Cylon toast? 
Speaker SHELDON: ",When I have enough to destroy all the human toast on the Battlestar known as Galactica.
"Speaker RACHEL: Hey 
Speaker CHANDLER: ","I am sorry, we donÕt have your sheep."
"Speaker HOWARD: All right, Amy's in charge of pricing and being 75. 
Speaker RAJ: Hey, Penny, can you give me a hand with this? 
Speaker PENNY: Sure. Aw, we had one of these growing up. I used to play all the time. 
Speaker RAJ: Oh, yeah? I love Ping-Pong. 
Speaker PENNY: Oh, I meant beer pong. 
Speaker AMY: I had a table, too, but I didn't have any friends, so all I did was serve. 
Speaker BERNADETTE: You know, you can leave one side up and play against it. 
Speaker AMY: ","And if I had a friend, they might have told me that."
"Speaker SHELDON: Who will stand between us and flag ignorance"""" 
Speaker AMY: I know I was thinking that.
Is this a show on flags or mind reading? 
Speaker SHELDON: But the truth is I can no longer balance a full-time career, a popular Internet show, and a girlfriend. 
Speaker AMY: And he really does have one, you jerks on the comment board. 
Speaker SHELDON: ","So as they say, all good things must come to an end."
"Speaker PHOEBE: There is nothing wrong with Jake! Okay? He is all man! I'm thinking even more than you. 
Speaker JOEY: Oh yeah, he looked like a real lumberjack in those pink lacys. 
Speaker PHOEBE: I'm just saying that only a man completely secure with his masculinity could walk around in women's underwear! 
Speaker PHOEBE: ",I don't think you could ever do that.
"Speaker PENNY: This is amazing.
How did you even get this idea? 
Speaker LEONARD: I called your dad.
I asked him what things you liked to do when you were a kid. 
Speaker LEONARD: This seemed easier than getting a cow out here so you could tip it. 
Speaker PENNY: Okay, you're kind of really great. 
Speaker LEONARD: ",You mean for a person whose neck massages feel like an eagle is trying to carry you to its nest?
"Speaker JOEY: I just want to go back to my cell, cause in my cell I can smoke. 
Speaker CHANDLER: Smoke away! 
Speaker CHANDLER: ",I think this is probably why Damone smokes in his cell alone.
"Speaker BERNADETTE: Um, no. 
Speaker AMY: You should get one. 
Speaker BERNADETTE: What's that? 
Speaker AMY: It appears to be something preserved between two pieces of acrylic. 
Speaker PENNY: Oh, it's a snowflake from the North Pole. Leonard gave it to me last year. 
Speaker BERNADETTE: Oh, God, that is so romantic. 
Speaker PENNY: Yeah, it was. 
Speaker BERNADETTE: Leonard's really one of a kind. 
Speaker AMY: ","Saying that while holding a snowflake is a bit heavy-handed, don't you think?"
"Speaker HOWARD: I told my girlfriend Bernadette she could join us for dinner. 
Speaker LEONARD: Sure. The more, the merrier. 
Speaker SHELDON: Wa- no, that's a false equivalency. More does not equal merry. 
Speaker SHELDON: If there were 2,000 people in this apartment right now, would we be celebrating?
No, we'd be suffocating. 
Speaker LEONARD: Sheldon... 
Speaker SHELDON: Don't ""Sheldon"" me. We ordered for five people, not six. 
Speaker PENNY: Oh, come on, it's fine. We'll just put it all on the table, you know, family style. 
Speaker SHELDON: ","Oh, sure. And while we're at it, why don't we put our hands behind our backs, have an old-fashioned eating contest?"
"Speaker JOEY: Thank you, but it would take me forever to pay  you that money back and I don't want that hanging on my head. Besides, soon as my insurance kicks in I' ll all the free operations I want. T'll probably start with that laser eye surgery. 
Speaker CHANDLER: ",Joey's got a really bad hernia but its nothing that a laser eye surgery wont fix
"Speaker PHOEBE: Come on, no peeking! 
Speaker CHANDLER: Our eyes are closed and we're about to cross the street. Very good. 
Speaker PHOEBE: Okayyyyy, open up! 
Speaker ROSS: ",What did you want to show us? Because all I can see is this bitchin van
"Speaker JOEY: Well, I'm just,if the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference! 
Speaker RACHEL: Joey, do you have a minute? 
Speaker ROSS: Dude, what am I gonna 
Speaker JOEY: ","Uh, Rachel's here, so good luck man, let me know how it works out."
"Speaker SHELDON: It's not like I was invited to Richard Feynman's house and have anything better to do. 
Speaker AMY: Is this how the rest of the night's going to be? 
Speaker SHELDON: I don't know the future. 
Speaker SHELDON: Do you think there's a chance that an asteroid could hit the Earth, destroying Feynman's house and everyone in it? 
Speaker AMY: No, Sheldon. 
Speaker SHELDON: ",Then buckle up; you're in for a cranky night.
"Speaker JOEY: How do I look? 
Speaker CHANDLER: ","Oh, um, I don't care!"
"Speaker MONICA: Oh. Thank you. Ohhh, thank you very much. Oh, thank you for coming.  Uh, just a second! 
Speaker PHOEBE: No-no, let me in! 
Speaker MONICA: Phoebe? 
Speaker PHOEBE: ",Yeah!
"Speaker SHELDON: Oh, good Lord. 
Speaker LEONARD: God, that's a good song. 
Speaker SHELDON: ","If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you."
"Speaker PENNY: Hey Sheldon. 
Speaker SHELDON: Hello Penny. 
Speaker PENNY: Get anything good? 
Speaker SHELDON: Just the latest copy of Applied Particle Physics quarterly. 
Speaker PENNY: ","Oh, you know, that is so weird that yours came and mine didn't."
"Speaker MONICA: Could guys please try to keep It down? We are trying to start a tournament. 
Speaker CHANDLER: ","These people find out that a spelling game is going over there, there will be nobody left at our party."
"Speaker LEONARD: Okay. Well, then it's settled: small indoor church wedding, black-tie, no butterflies. 
Speaker PENNY: Sounds perfect. Great. 
Speaker SHELDON: You still didn't pick a date. 
Speaker PENNY: Stay out of it! Shut up! 
Speaker RAJ: ","Oh, yes, we've got the moon and the trees and... Elizabeth McNulty, who apparently died when she was the same age I am."
"Speaker CHANDLER: Wish I could switch with someone. 
Speaker CHANDLER: ",I really don't wanna sit with Allen Iverson over there .
"Speaker PERSON: Thanks so much for helping me. 
Speaker LEONARD: ",Thank you so much for giving me the opportunity to help.
"Speaker ROSE: But I am still upset. 
Speaker BLANCHE: Are you upset because you don't know what to do about Al? 
Speaker DOROTHY: ","No, she I supset because Jimmy Swaager can't cover his motel bill"
"Speaker JOEY: You said, you wanna come in for some lemonade? 
Speaker MONICA: So?! 
Speaker JOEY: Whoa, ah!! We're you just gonna give me some lemonade? 
Speaker MONICA: Yeah huh!! 
Speaker MONICA: ",Cover yourself up!
"Speaker SHELDON: but the driver didn't look at all like the photograph on his license, so I leapt out and ran for it. 
Speaker AMY: Wise. 
Speaker PENNY: There you go. Just like recovering alcoholics drink in the Caribbean. 
Speaker AMY: Hi, bestie. 
Speaker PENNY: Oh. Hi, Amy. How you been? 
Speaker AMY: Fine. From this angle, I can see up your nose. 
Speaker PENNY: ","Yeah, it's a great time to be alive, isn't it?"
"Speaker LEONARD: Hey, Sheldon. I was up in the administration office, and I happened to overhear the name of the winner of this year's Chancellor's Award for Science. 
Speaker SHELDON: And you want to rub my nose in the fact that my contributions are being overlooked again? 
Speaker SHELDON: I am the William Shatner of theoretical physics. 
Speaker SHELDON: All right, I'll play. What self-important, preening fraud are they honoring this year? 
Speaker LEONARD: ","Oh, I'm so glad you asked it like that. You."
"Speaker BERNADETTE: He can't go to space. 
Speaker BERNADETTE: He's like a baby bird. 
Speaker BERNADETTE: Do you know he once got an asthma attack from reading an old library book? 
Speaker AMY: You're kidding. 
Speaker PENNY: No, I was there that day. 
Speaker PENNY: Sheldon threw his back out handing him that book. 
Speaker BERNADETTE: ",I don't know what I'm going to do. I don't want to break up over this.
"Speaker ROSS: I've had better. 
Speaker JOEY: Okay! When?! 
Speaker ROSS: All right! All right! It was the best nap ever! 
Speaker JOEY: ",Uh-huh!
"Speaker PERSON1: Where's Monica? 
Speaker MONICA: Over here Dad 
Speaker PERSON2: How to you zoom out? There she is 
Speaker JOEY: Some girl ate Monica 
Speaker MONICA: Shut up, the camera adds 10 pounds. 
Speaker CHANDLER: ","Uh, so how many cameras are actually on you."
"Speaker ROSS: No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie. 
Speaker PERSON: Well, Jamie was the name of Susan's first girlfriend, so we went back to Jordie. 
Speaker ROSS: What? Whoa, whoa whoa whoa, what do you mean, 
Speaker PERSON: ","Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp."
"Speaker ROSS: I mean, you two are-are my… I mean, I'm lucky to have just one good 
Speaker CHANDLER: Thanks man. 
Speaker JOEY: I gotta go check something over here. 
Speaker CHANDLER: ",What a baby.
"Speaker SHELDON: like Mrs. Riley' s chicken. 
Speaker PENNY: What's Mrs. Riley's chicken? 
Speaker SHELDON: A chicken that was owned by Mrs. Riley. 
Speaker PENNY: Okay, forget the chicken. 
Speaker SHELDON: Well, I wish I could. 
Speaker PENNY: No, no. You may be right about me and Leonard. 
Speaker SHELDON: Of course I'm right What are the odds I'd be wrong twice in one week? 
Speaker PENNY: ","No, I mean, we can always go back to being friends."
"Speaker JOEY: Hey, we know how we always say we need a place for the mail? Well I started building one, but then, I decided to take it to the next step. 
Speaker CHANDLER: ",You building a post office?
"Speaker ROSS: Really, I, no, I think girls night out is a great idea. Okay, okay, bye 
Speaker PHOEBE: So what are they doing? 
Speaker ROSS: ","I don't know, something girlie."
"Speaker ROSS: Hey who is this Casey? 
Speaker PHOEBE: Oh some guy she met in the movies 
Speaker ROSS: Oh really? What does he want with her? 
Speaker CHANDLER: ","I guess he wants to do a little dance, you know, make a little love. Well pretty much get down to that."
"Speaker RACHEL: Two week straight and she hasn't smoked since. 
Speaker MONICA: So how did you guys meet? 
Speaker PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. 
Speaker PERSON2: And he was my best student. 
Speaker PERSON1: Yes she was my best teacher. 
Speaker CHANDLER: ","If that doesn't keep kids in school, what will?"
"Speaker LEONARD: Where are we going? 
Speaker SHELDON: You're driving me to the mall. 
Speaker SHELDON: I'm going to acquire a book that summarizes the current theories in the field of friend-making. 
Speaker LEONARD: ",Why don't you just lie down on the floor and swim there?
"Speaker PENNY: My God, she didn't! 
Speaker LEONARD: What could she possibly be talking about for so long? 
Speaker SHELDON: ","Obviously, waitressing at The Cheese Cake Factory is a complex socio-economic activity that requires a great deal of analysis and planning."
"Speaker LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang. 
Speaker SHELDON: My apologies. What's your plan? 
Speaker SHELDON: ",It's just a privilege to watch your mind at work.
"Speaker HOWARD: There's a 39.95 lover's special at P.F. Chang's. 
Speaker HOWARD: Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front. 
Speaker SHELDON: Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder? 
Speaker HOWARD: ","I understand your point, but given a choice, Jews always go with Chinese food."
"Speaker CHANDLER: It was summer. And it was hot. Rachel was there. 
Speaker CHANDLER: ","A lonely grey couch. "" O look "" cried Ned. And then the kingdom was his. The End."
"Speaker SHELDON: Or maybe she just doesn't want to talk. 
Speaker RAJ: Look, I found an iPod! 
Speaker HOWARD: It's smashed beyond repair. What are you gonna do with it? 
Speaker RAJ: ","What else? Sell it on eBay as ""slightly used."""
"Speaker ROSS: But if you do, make sure it seems like you're there to see him, okay? And you're not, like, doing it as a favor to me. 
Speaker CHANDLER: ","Okay, but If he asks, I am not going to lie."
"Speaker LEONARD: because you no longer wear underpants. 
Speaker SHELDON: The dice giveth and the dice taketh away. 
Speaker PENNY: Is Raj out with Emily again? 
Speaker LEONARD: Yeah, every night for the last month. 
Speaker PENNY: Wow, can't believe he has a girlfriend. 
Speaker SHELDON: Me neither. 
Speaker HOWARD: ",Here's some other fun news on the Raj/Emily front. He gave her a pair of diamond earrings and leased her a car.
"Speaker PERSON1: Ross, can I talk to you for a minute? 
Speaker ROSS: Yes, please!  So, what's going on? 
Speaker PERSON1: Uh, well... Joey and I broke up. 
Speaker ROSS: ","Oh my God, wh-what happened?"
"Speaker SCOTT: My name's Scott and I am a sarcasmholic. 
Speaker MEMBER-GIRL: Nooo. 
Speaker MEMBER-GIRL: ",We thought you were just here for the company. He is a sarcasmoholic Stewart.
"Speaker PERSON: What? 
Speaker MONICA: Y'know, so I don't read as many important books as you do, and I don't write trick poems that seem to be about one thing but are actually about something else. And y'know what, I get excited about stupid stuff, like when I my 
Speaker PERSON: ","Whoa, whoa, whoa."
"Speaker ROSS: No you do,y'know what, you're not gonna suck me into this. 
Speaker RACHEL: Oh sure I am, because you always have to be right. 
Speaker ROSS: ","I do not always have to be,okay, okay."
"Speaker PERSON: Glad you guys could make it. 
Speaker LEONARD: Of course. 
Speaker PENNY: Wow, it looks really pretty in here. 
Speaker PERSON: ","Yeah, turns out half a dozen menorahs really sets a mood."
"Speaker ROSS: Thirty seconds all the questions we can answer 
Speaker MONICA: You guys are dead, I am so good in lightning rounds. 
Speaker CHANDLER: I majored in lightning rounds, alright! We are gonna destroy you! 
Speaker MONICA: Wanna bet? 
Speaker CHANDLER: ",I am so confused as to what we have been doing so far.
"Speaker HOWARD: Hold that thought. 
Speaker HOWARD: Hello? 
Speaker AMY: How can I make this up to you? 
Speaker PENNY: The answer's in this puzzle box. 
Let's see if you can open it. 
Speaker BERNADETTE: You could have at least warned him about the furniture. 
Speaker RAJ: That's what I said when we moved it. 
Speaker BERNADETTE: You helped him?! 
Speaker RAJ: ","No, Stuart picked out those throw pillows all on his own."
"Speaker HOWARD: Wow, so you guys are like buds now? 
Speaker RAJ: Oh, yeah, we hang out all the time. 
Speaker PERSON: Plus, he doesn't have a girlfriend, I don't have a girlfriend. 
Speaker RAJ: It's like we both had these holes in our lives, but now we fill each other's holes. 
Speaker PERSON: ",that sounds a little funny to an American ear.
"Speaker HOWARD: This is one of my favorite places to kick back after a quest. They have a great house ale. 
Speaker PENNY: Cool tiger. 
Speaker HOWARD: Yeah, I've had him since level ten. 
Speaker HOWARD: His name is Buttons. 
Speaker HOWARD: Anyway, if you had your own game character we could hang out, maybe go on a quest. 
Speaker PENNY: That sounds interesting. 
Speaker HOWARD: You'll think about it? 
Speaker PENNY: ",I don't think I'll be able to stop thinking about it.
"Speaker PERSON: I remember when we first got engaged. 
Speaker CHANDLER: Oh, I don't think I ever heard that story. 
Speaker PERSON: ","Well, I'd gotten Judy pregnant. I still don't know how that happened."
"Speaker ROSS: So uh, does it do anything uh special? 
Speaker CHANDLER: ","Well yes Ross, pressing my third nipple opens the delivery entrance to the magical land of Narnia."
"Speaker PHOEBE: Hi! 
Speaker JOEY: Hey! 
Speaker JOEY: Uh, Pheebs, about your mom... 
Speaker PHOEBE: ",Yeah?
"Speaker SHELDON: Leonard, what do the two of you talk about after the coitus? 
Speaker HOWARD: My guess is, ""Hey, four minutes! New record!"" 
Speaker HOWARD: That's why I'm the funny one. 
Speaker LEONARD: Anyway, we followed the guy to this garage sale, and they had the coolest stuff. 
Speaker HOWARD: They were closing up. We got this whole box for 60 bucks. 
Speaker LEONARD: We didn't even get to go through it all. There could be anything in here. 
Speaker PENNY: ",There a new girlfriend in there? 'Cause you might need one.
"Speaker MODERATOR: Well we have a new member of Sarcasmoholics Anonymous this week 
Speaker MODERATOR: Perhaps you would like to introduce yourself? 
Speaker SCOTT: Hi everybody, my name is Scott and I am a sarcasmholic. 
Speaker MEMBER-GIRL: ",Nooo
"Speaker PHOEBE: Boy do I feel bad 
Speaker MONICA: very bad. 
Speaker PHOEBE: Chandler what are you doing? 
Speaker MONICA: Chandler? 
Speaker CHANDLER: ",Actually I yesterday I was smoking again. Today I am smoking still.
"Speaker RACHEL: I just saw Danny getting on the subway with a girl and he had his arm around her. 
Speaker MONICA: Oh, honey, I'm sorry. 
Speaker RACHEL: Well, you should be, this is all your fault! You meddled in our relationship!! 
Speaker MONICA: ",You had no relationship!!
"Speaker SHELDON: the paper was rejected, but recently, he was proven right. 
Speaker SHELDON: And now he's on the fast track to win a Nobel prize. 
Speaker PENNY: Yeah, that's basically what I said. 
Speaker SHELDON: The point is Higgs is being celebrated for work he did 50 years ago, so that got me thinking, 
Speaker SHELDON: perhaps I've already hit upon the idea that will win me my Nobel prize. 
Speaker LEONARD: ",I didn't know they gave Nobel prizes for making boom-boom in the potty.
"Speaker SHELDON: I may have failed. 
Speaker HOWARD: Okay, I guess we just go without a Wonder Woman. 
Speaker PERSON: I don't want to go without Penny. 
Speaker RAJ: Oh, great. No Superman, no Wonder Woman? All we've got is a skinny Flash, an Indian Aquaman, a nearsighted Green Lantern, and a teeny, tiny Dark Knight. 
Speaker SHELDON: ","Obviously, we're no longer a Justice League. We have no choice but to switch to our Muppet Baby costumes."
"Speaker HOWARD: Say what? 
Speaker HOWARD: That's basically what I just said. 
Speaker LEONARD: You brought your husband to work. You know the rules. 
Speaker LEONARD: Mesa thinking yousa looking pretty sad now too, betcha, betcha. 
Speaker PERSON: Leonard, it's 1:00. Weren't you going to show me your laboratory at 1:00? 
Speaker LEONARD: ",There's no hurry. Tell them more about their secret love for each other.
"Speaker LEONARD: Yup, oh... here you go. 
Speaker SHELDON: Oh, thank you. 
Speaker SHELDON: Here, get yourself an eraser for your troubles. 
Speaker LEONARD: Oh-ho.
I forgot about this. 
My aunt made it for me when I started college. 
Speaker PENNY: Aw, did she hate you? 
Speaker LEONARD: ","Why? Because I got an ugly, itchy sweater, and my brother got a car? No, I was her favorite."
"Speaker PERSON: and pump it into his mom's Camry. 
Speaker PENNY: Yeah, that's great. It's a funny story. Moving on. 
Speaker PERSON: And Donnie was a rocket scientist compared to that boy who wanted to get beer pong into the olympics. 
Speaker PERSON: What was his name, sweetheart? 
Speaker PENNY: Curtis, and I'm pretty sure he was joking. 
Speaker PERSON: I don't know. That petition looked real to me. 
Speaker PENNY: Yeah, okay, I think this ends the ex-boyfriend portion of our evening. 
Speaker PERSON: ","Well, I'm just glad you finally found yourself a keeper."
"Speaker LEONARD: Okay. So... we went out, saw a movie, met some nice people, 
Speaker LEONARD: ","said horrible things about each other in public... all in all, a pretty magical night."
