transformed_input_for_classification,sarcasm
"Speaker SHELDON: Pastries such as bear claws? 
Speaker PENNY: Yeah, sure. 
Speaker SHELDON: I don't like bear claws. 
Speaker PERSON: Hey, Penny. 
Speaker PERSON: Dumbass. 
Speaker SHELDON: Leslie Winkle. 
Speaker SHELDON: Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle? 
Speaker PENNY: They have a lot in common. I mean, they're both scientists. 
Speaker SHELDON: Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",True
"Speaker PENNY: A marathon? How many Superman movies are there? 
Speaker SHELDON: You're kidding, right? 
Speaker PENNY: I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that? 
Speaker SHELDON: One. 
Speaker SHELDON: You realize that scene was rife with scientific inaccuracy. 
Speaker PENNY: Yes, I know, men can't fly. 
Speaker SHELDON: Let's assume that they can. 
Speaker SHELDON: Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.",False
"Speaker PERSON: Can I help you? 
Speaker CHANDLER: Uh-oh. 
Speaker JOEY: Uh, y'know what, we're having second thoughts about our copying needs. And we'll need a little more time to think about it. 
Speaker PERSON: Chloe, switch with me, there's some guys here that got a crush on you.",False
"Speaker DOROTHY: She is miserable. 
Speaker ROSE: Just to keep me upto speed Dorothy, it is this negligent arson that prospect of spending the rest of her wiening years in jail thing right? 
Speaker DOROTHY: No itÕs the rose in the kitchen thing.",True
"Speaker MONICA: David who? 
Speaker PHOEBE: David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David! 
Speaker CHANDLER: Oh my God! 
Speaker PHOEBE: Oh, you say someone's name enough, they turn around.",True
"Speaker ROSS: Look I drew a sketch of how we are gonna do it ok? Rach, that's you, that's the couch 
Speaker RACHEL: What's that? 
Speaker ROSS: Oh, that's me. 
Speaker RACHEL: Wow! Certainly think a lot of yourself. 
Speaker ROSS: No, that's my arm. 
Speaker CHANDLER: Oh I see, I thought you just really really liked your new couch.",True
"Speaker SHELDON: ""Release the Kraken."" That never gets old. 
Speaker SHELDON: ""Release the Kraken!"" Oh, chills. 
Speaker SHELDON: Besides, I'm having dinner with Amy. 
Speaker RAJ: Oh, okay. I'll just go home and be alone. 
Speaker RAJ: W-Which is cool.
I eat alone, I sleep alone, I cry alone, so...
Cool. 
Speaker SHELDON: Darn. If you weren't busy, I'd ask you to join us.",True
"Speaker RACHEL: I'm really glad Monica asked us out. 
Speaker PERSON: I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch. 
Speaker RACHEL: You're sister? You're sister's asleep on the couch? Ohhh! I saw 
Speaker PERSON: Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.",False
"Speaker ROSS: When did I say you were boring?! 
Speaker PHOEBE: Oh my God, I remember now! We were playing chess! 
Speaker ROSS: Phoebe! You and I have 
Speaker PHOEBE: Oh, come on!",False
"Speaker RACHEL: Well, Joshua's coming in tomorrow and since I don't have the guts to ask him out, I'm going to sell him a coat and put this note in the pocket. 
Speaker CHANDLER: Oh yeah? Joshua, give me a call sometime, guys like you never go out of style. 
Speaker JOEY: Hey!",False
"Speaker RAJ: I've missed you. 
Speaker SHELDON: All right, say hello to your mother for me. 
Speaker HOWARD: Okay. 
Speaker SHELDON: What? 
Speaker HOWARD: You said you were going for a walk. 
Speaker SHELDON: I didn't say outside. 
Speaker HOWARD: So what, you're just gonna walk up and down the stairs?",False
"Speaker PERSON: Oh, certainly. That's a combination of Bernoulli's principle and Newton's third law of motion. 
Speaker MONICA: See? 
Speaker CHANDLER: Yeah, that's the same as ""it has something to do with wind"". 
Speaker MONICA: Alright, I'm gonna go pick up a few things for the trip.",False
"Speaker JOEY: You liked it? You really liked it? 
Speaker CHANDLER: Oh-ho-ho, yeah! 
Speaker JOEY: Which part exactly? 
Speaker CHANDLER: The whole thing! Can we go?",True
"Speaker PERSON: Thank you, Leonard. That doesn't make it sound boring at all. 
Speaker AMY: So, how you holding up? 
Speaker PENNY: I'm fine. 
Speaker AMY: Oh, who are you kidding? She's breathtaking. 
Speaker PERSON: So, Penny, Leonard tells me you're an actress. That must be pretty exciting. 
Speaker PENNY: Oh, yeah, yeah. It's real great. Today I drove to Van Nuys for an audition I thought was going to be for a cat food commercial. Turned out to be porn.",True
"Speaker ROSS: I have a question. Umm, I used your pen to draw on my friend's face. A beard and a moustache. 
Speaker ROSS: Thank you.",False
"Speaker SHELDON: That's why Leonard does it. 
Speaker PENNY: Okay, I just have one question. What exactly are sub-atomic particles? 
Speaker SHELDON: A good question. 
Speaker PENNY: Thank you. 
Speaker SHELDON: And to answer it, we first must ask ourselves: ""What is physics?"" Oh, balls. It's a warm summer evening in ancient Greece. 
Speaker HOWARD: Okay, I got a bone to pick with you.",False
"Speaker CHANDLER: Did I go to this school? 
Speaker ROSS: Hey, there's Missy Goldberg. You gotta remember her. 
Speaker CHANDLER: Sure, nice. 
Speaker ROSS: Dude. You're married to my sister. 
Speaker CHANDLER: You are right, by saying nice, I am virtually licking her.",True
"Speaker PERSON: I am sorry, why did Phoebe and Mike breakup? 
Speaker CHANDLER: Because his penis was too big. I am sorry, thatÕs the kind of thing I do.",False
"Speaker LEONARD: Where are we going? 
Speaker SHELDON: You're driving me to the mall. 
Speaker SHELDON: I'm going to acquire a book that summarizes the current theories in the field of friend-making. 
Speaker LEONARD: Why don't you just lie down on the floor and swim there?",True
"Speaker MONICA: Hey, you haven't been practising the routine have you? 
Speaker ROSS: No! 
Speaker ROSS: I was thkinking about maybe going into the Robot.",False
"Speaker SHELDON: It is, isn't it? 
Speaker SHELDON: (gasps) Oh, bother. 
Speaker SHELDON: Isn't that just always the way? 
You go to staple something, and you're out of staples. 
Speaker SHELDON: Gosh, I wish I'd known that earlier today when I was at Staples. 
Speaker RAJ: You have a thing of paper clips right there.",False
"Speaker HOWARD: but wait to be captured or killed. 
Speaker PERSON: That's the worst part, the waiting. 
Speaker HOWARD: All the while knowing that there's a paint pellet out there with your name on it. 
Speaker PERSON: The big wet ball of death. 
Speaker PERSON: Kind of makes you feel more alive, doesn't it?",True
"Speaker PENNY: This is amazing.
How did you even get this idea? 
Speaker LEONARD: I called your dad.
I asked him what things you liked to do when you were a kid. 
Speaker LEONARD: This seemed easier than getting a cow out here so you could tip it. 
Speaker PENNY: Okay, you're kind of really great. 
Speaker LEONARD: You mean for a person whose neck massages feel like an eagle is trying to carry you to its nest?",True
"Speaker SHELDON: They're here. 
Speaker LEONARD: Stay calm. We don't know anything about them yet. 
Speaker LEONARD: What are you doing? 
Speaker SHELDON: I'm checking for musical instruments. 
Speaker SHELDON: Does that sound like castanets to you? 
Speaker LEONARD: The box says ""kitchen."" 
Speaker SHELDON: So? Do cocaine smugglers write ""cocaine"" on the box?",True
"Speaker JOEY: Well, I'm just,if the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference! 
Speaker RACHEL: Joey, do you have a minute? 
Speaker ROSS: Dude, what am I gonna 
Speaker JOEY: Uh, Rachel's here, so good luck man, let me know how it works out.",True
"Speaker PERSON: Mr. and Mrs. Wolowitz? 
Speaker PERSON: As far as I can tell, your bag arrived in Los Angeles. 
Speaker BERNADETTE: So, where is it? 
Speaker PERSON: I don't know, perhaps somebody took it off the carousel by mistake?",False
"Speaker CHANDLER: Do you know what just happened? 
Speaker MONICA: Yeah. We-we had sex and then we fell asleep. 
Speaker CHANDLER: No. We were in the middle of sex .. and 
Speaker MONICA: Nooo! No, that's not true. No, best time ever! Yeah, you rocked my world!",True
"Speaker CHANDLER: Hey 
Speaker JOEY: You son of a bitch! 
Speaker CHANDLER: Is it me or the greetings gone downhill around here?",True
"Speaker PHOEBE: Um-hmm. Oh wait! This is Bonnie. 
Speaker PERSON: Hi! 
Speaker RACHEL: This is Bonnie?  This is Bonnie?  You're Bonnie? 
Speaker PERSON: I can show you an ID if you want?",True
"Speaker RACHEL: Two week straight and she hasn't smoked since. 
Speaker MONICA: So how did you guys meet? 
Speaker PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. 
Speaker PERSON2: And he was my best student. 
Speaker PERSON1: Yes she was my best teacher. 
Speaker CHANDLER: If that doesn't keep kids in school, what will?",True
"Speaker BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? 
Speaker HOWARD: For your information, I just bought the last one I needed on eBay. 
Speaker BERNADETTE: Without asking me? 
Speaker HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. 
Speaker BERNADETTE: How much, Howie? 
Speaker HOWARD: Not a lot. 
Speaker BERNADETTE: How much? 
Speaker HOWARD: Let's not talk about this in front of our friends.",False
"Speaker JOEY: Oh, uh, listen, about tonight... 
Speaker CHANDLER: No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend. 
Speaker CHANDLER: Yes, I know, but her friend sounds like such a...",False
"Speaker HOWARD: It's smashed beyond repair. What are you gonna do with it? 
Speaker RAJ: What else? Sell it on eBay as ""slightly used."" 
Speaker LEONARD: It was Penny's boyfriend's, they broke up. 
Speaker HOWARD: Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere. 
Speaker LEONARD: I'm gonna go back and try talking to her again. 
Speaker HOWARD: Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",True
"Speaker HOWARD: I just Googled ""foo-foo little dogs."" 
Speaker HOWARD: (Skype ringing) It's Raj. Stay quiet. 
Speaker HOWARD: (chuckles): Hey!
Bad timing.
Bernadette just took Cinnamon out for a walk. 
Speaker RAJ: Hmm. Interesting. 
Did they take a walk down Liars' Lane? 
Speaker HOWARD: What? 
Speaker RAJ: A lane frequented by liars. Like you, you big liar!",False
"Speaker LEONARD: What, Sheldon? What, Sheldon?! What, Sheldon?! 
Speaker SHELDON: Tell me what you see here. 
Speaker LEONARD: The blunt instrument that will be the focus of my murder trial?",True
"Speaker ROSS: And sometimes I may be away longer, like this. But I'll still always come back, like this. 
Speaker CHANDLER: And sometimes I would want you to steal third, and I'll go like this.",True
"Speaker MONICA: Actually, I was gonna do some laundry. Chandler, do you wanna do it with me? 
Speaker CHANDLER: Sure I will do it with you 
Speaker RACHEL: You don't mind do you, that would really help me a lot Thanks. 
Speaker MONICA: I don't think I have enough quarters 
Speaker PHOEBE: I have quarters! 
Speaker CHANDLER: Great! Now we can do laundry all night. All night laundry!",True
"Speaker ROSE: Wait donÕt leave me, what will I do if they come back? 
Speaker DOROTHY: Show them your slides of Hawaii",True
"Speaker HOWARD: I was thinking of weaving it into her eulogy. 
Speaker PERSON: Howard, you've got to tell your mother. 
Speaker HOWARD: Hey, have you told your parents you're dating this short glass of skim milk here? 
Speaker PERSON: Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children. 
Speaker HOWARD: Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.",True
"Speaker ROSS: Wow! This is so amazing. I uh, I really thought I'd have to talk you into this more. 
Speaker RACHEL: What-wh-what so we'll just stay married forever?",True
"Speaker PERSON: Aren't you with that girl over there? 
Speaker ROSS: Well, yeah, kinda. Um, but that's okay, see we have an understanding, um, see we each have this list of five famous people, so I'm allowed to sleep with you. 
Speaker ROSS: No, no, no, it's flattery.",False
"Speaker PERSON: When their pets pass on, they want them sort of laid out like they are sleeping. But, occassionally theres a person who wants them in a pose like chasing their tail or uh, jumping to catch a frizbee. 
Speaker CHANDLER: Joey if I go first, I want to be looking for my keys",True
"Speaker CHANDLER: Listen it's kind of an emergency 
Speaker CHANDLER: I guess you would know that or else we would be in a predicament room",True
"Speaker PERSON: But that reminds me, sign this. 
Speaker ROSS: What is it? 
Speaker PERSON: Its nothing, just that you can't sue the city incase you scrap your knee or your know get your head blown off. 
Speaker CHANDLER: Oh hurry up, I want to sign that.",True
"Speaker MONICA: No. 
Speaker CHANDLER: How long have we been home? 
Speaker MONICA: About a half an hour. 
Speaker CHANDLER: Lovely",True
"Speaker MONICA: I am sorry I think I can walk the rest of the way now just give me my boots. 
Speaker CHANDLER: I don't have your boots 
Speaker MONICA: Well I don't have them either, where are they? 
Speaker CHANDLER: Well why don't you check in one of my saddle bags while I chew on a bale of hay.",True
"Speaker AMY: What differences does it make if Leonard goes to Wil Wheaton's party? 
Speaker PENNY: Wil Wheaton is Sheldon's mortal enemy. 
Speaker AMY: Mortal enemy? 
Speaker AMY: Mm-hmm. Sheldon, I know you're a bit of a left-handed monkey wrench, but...
you really have a mortal enemy? 
Speaker SHELDON: In fact, I have 61 of them. 
Speaker SHELDON: Would you like to see the list? 
Speaker PENNY: Oh, say no, say no, say no, say no. 
Speaker SHELDON: You just got off the list. Would you like back on it? This'll just take a moment. It's on a five and a quarter inch floppy.",True
"Speaker SHELDON: Ask me why. 
Speaker LEONARD: Do I have to? 
Speaker SHELDON: Of course. That's how you move a conversation forward. 
Speaker LEONARD: Why? 
Speaker SHELDON: The learning opportunities would be abundant. 
Speaker SHELDON: Additionally, I like having my belly scratched. 
Speaker PENNY: I hope I'm a waitress at the Cheesecake Factory for my whole life.",True
"Speaker ROSS: I can't believe you'd rather go out with him than me. 
Speaker RACHEL: Would you excuse me, please? I'm trying to have a date here. 
Speaker ROSS: Fine, just stop thinking about me. 
Speaker ROSS: Can't do it, can you?",False
"Speaker LEONARD: Robot girlfriend. 
Speaker HOWARD: Mm, that was mine. 
Speaker LEONARD: Robot prostitute. 
Speaker HOWARD: Also mine. 
Speaker SHELDON: Wait. I'm confused. 
Why would you need both a robot girlfriend and a robot prostitute? 
Speaker HOWARD: There's just some things you don't do with your robot girlfriend.
Boy, when you met Bernadette, 
Speaker RAJ: Boy, when you met Bernadette, the field of robotics really took a hit.",True
"Speaker AMY: Oh... then I choose a janitor.
'Cause I'm about to throw up. 
Speaker LEONARD: I'm in love.
Let's do something else. 
Speaker RAJ: Ooh, uh, Emily gets off work soon.
Why don't the four of us go out? 
Speaker AMY: Okay. Sounds good. 
Speaker LEONARD: Should we call Howard and Bernadette? 
Speaker RAJ: I don't know what time their plane gets in, but let me, let me shoot them a text. 
Speaker AMY: Did he say anything about the funeral? 
Speaker RAJ: Not much, but he seemed to be in a pretty good place.",False
"Speaker ROSS: Chandler. I sensed it was you. 
Speaker CHANDLER: What?! 
Speaker ROSS: Unagi. I'm always aware. 
Speaker CHANDLER: Okay, are you aware unagi  is an eel?",True
"Speaker ROSE: Hi Dorothy, cooking? 
Speaker DOROTHY: No Rose, I am developing pictures from the magellan space probe",True
"Speaker RAJ: We did it. We have the west coast feed of hbo. 
Speaker HOWARD: Ooh,real sex. 
Speaker RAJ: Big deal. Every time I watch that show, it's old women putting condoms on cucumbers. 
Speaker LEONARD: All right,let's see what's on the east coast feed. 
Speaker RAJ: Dune. 
Speaker RAJ: Not a great movie, but look at that beautiful desert.",False
"Speaker MONICA: Oh wait! Stop! Stop! Stop! 
Speaker CHANDLER: Oh I'm sorry! Do you need a break? 
Speaker MONICA: My boots in tan! Hey! Can you get a little closer so I can see the price? 
Speaker CHANDLER: I can see it from right here. It'll cost you one husband.",True
"Speaker PERSON: spring vacation. 
Speaker ROSS: spring vacation. 
Speaker PERSON: Oh good. 
Speaker ROSS: Look, I ..   Look, I'm having a great time with you and I just don't want us to move to fast or put to much pressure on us. 
Speaker ROSS: So, I'm sorry I just don't think we should go away together yet.",False
"Speaker CHANDLER: Hi, excuse me, is Rachel Green here? I'm supposed to meet her for lunch. 
Speaker PERSON: Oh she doesn't come here anymore. You can find her up on 10th. 
Speaker CHANDLER: Okay great. 
Speaker CHANDLER: I'll catch you guys later.",False
"Speaker SHELDON: What are you doing? 
Speaker LEONARD: Oh, uh, Priya's calling in a few minutes on Skype, and we are gonna have a dinner date. 
Speaker SHELDON: It's 8:00 in the morning in Mumbai. 
How can she have dinner? 
Speaker LEONARD: Fine, whatever. 
Priya will be having breakfast. 
Speaker SHELDON: All right, so technically it's not a dinner date. I suppose you could call it a, uh, dinfast date. But if you did, you'd open yourself to peer-based mocking, such as, ""Hey, Leonard, how was your dinfast with Priya last night?""",False
"Speaker HOWARD: to rebrand the stuff as a cure for constipation. 
Speaker RAJ: Way to make lemonade.
You know, from around the corner where fudge is made. 
Speaker HOWARD: Hey, I got a favor to ask. 
Speaker RAJ: Sure. 
Speaker HOWARD: My mom's been kind of an emotional wreck since that dentist she was dating dumped her. 
Speaker RAJ: Dumped her? What, did he use a forklift?",True
"Speaker AMY: It's like a waterfall of liquid gold. 
Speaker AMY: My turn. 
Speaker PENNY: You know, I don't even know what the point of me staying in L.A. is. 
Speaker PENNY: I haven't gotten a single acting job since I moved out here. 
Speaker PENNY: The closest I came was last month, I got a callback for a hemorrhoid commercial. 
Speaker AMY: Oh, I could so see you being the face of hemorrhoids.",True
"Speaker RAJ: Here you go. 
Speaker HOWARD: Great. Come on in. 
Speaker RAJ: What, you don't say thank you? 
Speaker HOWARD: It's my suitcase.
I lent it to you two years ago. 
Speaker RAJ: Well, then, I should tell you I broke the wheel and the handle. 
Speaker RAJ: So, is everyone from Bernadette's company going to Vegas? 
Speaker HOWARD: No, just me, her and a couple of the big wigs. It's part of a bonus she got.",False
"Speaker RAJ: It's nice that all the people who are lonely on Valentine's Day can come here tonight and be together. 
Speaker PERSON: Yeah, I'm really looking forward to it. In fact, there's no place I would rather be than here.",True
"Speaker ROSE: Are you depressed about Glen? 
Speaker DOROTHY: No, I am depressed becaues Phillis George left the morning news.",True
"Speaker AMY: FYI, we plan on selling out the human race hard. 
Speaker PENNY: In 20 years, who knows what'll happen with any of us? 
Speaker PERSON: I think you and Leonard will be together. 
Speaker PENNY: You do? 
Speaker PERSON: Yeah.
I think you're the best couple I know. 
Speaker PENNY: That's so sweet. 
Speaker AMY: What the hell?! Excuse me? 
Speaker PENNY: Ah-da-da-da-da! 
Speaker PENNY: Let the dead man talk. So, why do you think that?",False
"Speaker RACHEL: You and I were, uh 
Speaker PHOEBE: doing it on this table 
Speaker CHANDLER: You okay there? 
Speaker ROSS: I can't belive you two had sex in her dream. 
Speaker CHANDLER: I am sorry, it was a one time thing. I was very drunk and it was someone else's subconscious",True
"Speaker SHELDON: See, by attaching RFID tags to my clothing, it will enable my laptop to read and identify the items with this wand. 
Speaker SHELDON: I will then cross-reference them against destination, anticipated activity spectrum, weather conditions, duration of trip, et cetera. 
Speaker LEONARD: That does sound much simpler. 
Speaker LEONARD: How long is this going to take? 
Speaker SHELDON: Assuming I can keep up this pace, three hours, 11 minutes. Plus however long it takes to conclude this fairly pointless conversation.",True
"Speaker PERSON: Oh no 
Speaker SHELDON: What? 
Speaker PERSON: You were right. Your larynx is terribly inflamed. I've never seen anything like it.",True
"Speaker PENNY: Leonard, what time does your mom's plane get in? 
Speaker LEONARD: I don't know-- some time tomorrow morning. 
Speaker PENNY: Don't you want to know for sure? 
Speaker LEONARD: No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force.",True
"Speaker CHANDLER: All right, y'know what, we've been talking about London too much haven't we? 
Speaker PHOEBE: I'm sorry. It's just 'cause I couldn't be there. 
Speaker PHOEBE: Cause all I ever get to do now is pregnant stuff, it just bums me out.",False
"Speaker ROSS: Yeah. Listen about that, the whole uh, who came on to who thing really doesn't matter. I mean, I think it would've happened either way. 
Speaker ROSS: I mean if you hadn't initiated it I-I-I know I would've.",False
"Speaker SHELDON: Wow. I don't know which hurts worse-- my nose or my heart. 
Speaker SHELDON: Well, I'm done speaking to you. 
Speaker AMY: Don't be like that. You two need to talk this out. 
Speaker PENNY: Yeah, 'cause you sound really funny. 
Speaker LEONARD: Sheldon, I'm sorry I didn't tell you about the surgery, but you were worried about nothing. 
Speaker SHELDON: Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",False
"Speaker ROSS: He also found an M and an O. 
Speaker CHANDLER: We think it was trying to spell out monkey.",True
"Speaker RACHEL: Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with. You guys would never want to go to a lecture with me. 
Speaker ROSS: Pa-haa!! I would love to go with you. 
Speaker RACHEL: Really!?",False
"Speaker JOEY: Well, what did you have? 
Speaker CHANDLER: It doesn't matter because nothing beats a three and a six. That my friend is D-Cup. 
Speaker CHANDLER: Okay, now much have you won so far?",False
"Speaker SHELDON: My tongue won't go as far forward as it used to. 
Speaker LEONARD: Maybe your tongue is shrinking. 
Speaker SHELDON: Nope. 
Speaker SHELDON: Oh, you have no idea how annoying this is. 
Speaker LEONARD: I'm starting to get a sense of it.",True
"Speaker MONICA: Chandler, I think I am sick 
Speaker CHANDLER: Really? Struck down in the prime of life.",True
"Speaker JOEY: I just want to go back to my cell, cause in my cell I can smoke. 
Speaker CHANDLER: Smoke away! 
Speaker CHANDLER: I think this is probably why Damone smokes in his cell alone.",True
"Speaker JOEY: Thank you, but it would take me forever to pay  you that money back and I don't want that hanging on my head. Besides, soon as my insurance kicks in I' ll all the free operations I want. T'll probably start with that laser eye surgery. 
Speaker CHANDLER: Joey's got a really bad hernia but its nothing that a laser eye surgery wont fix",True
"Speaker SHELDON: It's not like I was invited to Richard Feynman's house and have anything better to do. 
Speaker AMY: Is this how the rest of the night's going to be? 
Speaker SHELDON: I don't know the future. 
Speaker SHELDON: Do you think there's a chance that an asteroid could hit the Earth, destroying Feynman's house and everyone in it? 
Speaker AMY: No, Sheldon. 
Speaker SHELDON: Then buckle up; you're in for a cranky night.",False
"Speaker SHELDON: Who will stand between us and flag ignorance"""" 
Speaker AMY: I know I was thinking that.
Is this a show on flags or mind reading? 
Speaker SHELDON: But the truth is I can no longer balance a full-time career, a popular Internet show, and a girlfriend. 
Speaker AMY: And he really does have one, you jerks on the comment board. 
Speaker SHELDON: So as they say, all good things must come to an end.",False
"Speaker BERNADETTE: What the hell is wrong with you?! 
Speaker RAJ: Well...
You were always so nice to me, I thought maybe you liked me. 
Speaker BERNADETTE: I'm nice to everyone! 
Speaker RAJ: I'm sorry. 
Speaker BERNADETTE: Damn right, you're sorry! 
Speaker BERNADETTE: And you tell Howard there's never been anything between us! 
Speaker RAJ: I will. Hey, Bernadette? 
Speaker BERNADETTE: What?! 
Speaker RAJ: Do you think I have a shot with Penny? 
Speaker BERNADETTE: Of course you do. You're a cutie pie! Any girl would be lucky to have you!",False
"Speaker CHANDLER: Okay you are right, I am in love with Joey's girlfriend. 
Speaker PHOEBE: What? How is that possible? You barely know her. 
Speaker CHANDLER: I don't know. I can't . I just, I can't get her out of my head you know. I am a very bad person. I am a horrible person. 
Speaker CHANDLER: No you are not Chandler, we still love you Chandler",True
"Speaker PENNY: Yeah, sure, come on in. 
Speaker LEONARD: Thanks. 
Speaker PENNY: Want some mac and cheese? 
Speaker LEONARD: No. Lactose. Gas. 
Speaker PENNY: Glass of wine? 
Speaker LEONARD: No. Sulfites. Migraines. 
Speaker PENNY: Okay, well, I'd offer you Halloween candy, but that's gone. 
Speaker PENNY: So, what's up? 
Speaker LEONARD: Okay, we used to go out, right? 
Speaker PENNY: Oh, my God, that's where I know you from.",True
"Speaker SHELDON: it's-it's what my grant was designated for, and that everybody has to do things they don't want to do. 
Speaker SHELDON: He then gave an example of something he had to do, even though he didn't want to, which was look at my stupid face. 
Speaker LEONARD: That's a rude thing to say. Out loud. 
Speaker SHELDON: It's an outrage.
Honestly, I'm tempted to leave the university. 
Speaker HOWARD: You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.",True
"Speaker MONICA: Oh wait stop! Stop! Stop! 
Speaker CHANDLER: Oh I am sorry, do you need a break?",True
"Speaker SHELDON: Yes. 
Speaker PERSON: And some people in the science community are calling it ""The Wonder Blunder."" 
Speaker SHELDON: Who? Give me their names.
I bet it's Wolowitz. 
Speaker PERSON: It's just such a fascinating story. Your calculations are way off, but they find the element anyway. 
Speaker PERSON: It's like misreading a treasure map and still finding the treasure. 
Speaker SHELDON: Can we talk about something else? Do you know that I yodel?",False
"Speaker ROSS: Okay, that-that's all for today. Oh, uh does anyone know where the Freeman building is? 
Speaker PERSON: Yeah, it's the new building on Avenue A. 
Speaker ROSS: I'm supposed to teach a graduate seminar there in ten minutes.",False
"Speaker LEONARD: I guess they really do read their mail. 
Speaker SHELDON: Hey, isn't that Professor Proton? 
Speaker LEONARD: Oh, yeah. 
Speaker SHELDON: Look at him, just standing in line like he wasn't moderately famous 30 years ago. 
Speaker SHELDON: - Let's go say hello. 
Speaker LEONARD: - Oh, maybe we shouldn't bother him. 
Speaker SHELDON: I'm not going to bother him, I'm going to talk to him.",False
"Speaker PENNY: Oh, sweetie, guests don't normally wear corsages to a wedding. 
That's more of a prom thing. 
Speaker AMY: I never went to my prom. 
My mom paid my cousin to take me, but he just used the money to buy drugs. 
Speaker PENNY: Put the corsage on her. 
Speaker LEONARD: When you're done copping a feel, that goes on my wrist. 
Speaker AMY: When you're done copping a feel, that goes on my wrist.",True
